2025-03-27 18:40:47, 26, 3, 53, 655, 0.044, 6.52
2025-03-27 19:04:38, 23, 4, 56, 563, 0.027, 5.52
2025-03-27 19:22:02, 20, 9, 60, 698, 0.057, 6.19
2025-03-27 19:22:02, 23, 8, 59, 567, 0.046, 5.47
2025-03-27 19:22:09, 19, 13, 56, 596, 0.095, 6.65
2025-03-27 19:38:05, 18, 13, 57, 623, 0.084, 4.02
2025-03-27 19:38:26, 23, 18, 60, 643, 0.097, 5.07
2025-03-27 19:41:09, 20, 14, 50, 656, 0.083, 5.13
2025-03-27 19:41:09, 20, 14, 50, 656, 0.083, 5.13
2025-03-27 19:53:47, 27, 12, 60, 579, 0.085, 6.4
2025-03-27 19:53:47, 27, 12, 60, 579, 0.085, 6.4
